cntry,mean_income,income_sd,pct_college,mean_age,n
AL,3.082894736842105,2.2869791340089987,0.15394736842105264,48.18684210526316,760
AT,4.880353200883002,2.490128509626198,0.13730684326710818,50.88300220750552,4530
BE,5.878098128477491,2.4063177437305425,0.33012982633619964,49.140785702242454,5931
BG,4.53997378768021,2.93087203422306,0.2355832241153342,56.29652686762778,3052
CH,5.480540293040293,2.6014715465814917,0.21085164835164835,48.99771062271062,4368
CY,4.238828967642527,2.4431805269254867,0.275808936825886,51.58474576271186,1298
CZ,5.351504102096627,2.6444518283557543,0.14111212397447584,50.374840474020054,5485
DE,5.868180780643689,2.7887774837884733,0.24891577265464507,50.74252453777677,8762
DK,5.734138196763421,2.844814300680658,0.3706652966863601,50.19162599537631,3893
EE,5.520973782771535,2.7434012483597323,0.2883895131086142,51.46910112359551,5340
ES,4.971178692108925,2.7203240988628594,0.24408666269131385,49.233551977738024,5031
FI,5.830465799412505,2.6896068425826822,0.28689327178626384,51.2239474052315,7149
FR,4.959383111925485,2.8347157358293384,0.2009467094212857,51.968697511070395,6549
GB,5.149611398963731,2.9801980497554874,0.2767163212435233,51.94446243523316,6176
HR,4.910761154855643,2.9631268152854107,0.16010498687664043,52.493438320209975,1143
HU,5.50909556751217,2.7905450631921584,0.14271073533179607,52.38098898283372,3903
IE,4.27328125,2.5715281160540577,0.241875,50.90203125,6400
IS,5.552978626648477,2.7754593673345216,0.3447021373351523,47.813096862210095,2199
IT,4.917414721723519,2.479876290741893,0.15906642728904846,51.66140035906643,2785
LT,5.152796495956873,2.945572365277176,0.27307951482479786,53.68278301886792,5936
LV,4.010825439783491,2.5803912952157293,0.31393775372124494,55.46414073071718,739
ME,5.565454545454545,2.599265566847904,0.20363636363636364,50.67818181818182,550
NL,6.1230321697467485,2.7311045445375965,0.31793292265571527,51.436344969199176,5844
NO,5.338304392236976,2.7229281189858376,0.37058222676200203,47.86802860061287,4895
PL,5.376001885902876,2.693459157557797,0.22795851013672797,49.1984912776992,4242
PT,4.79739467849224,2.701019712666166,0.1917960088691796,52.93043237250554,3608
RS,4.947368421052632,2.576596789089092,0.15962036238136323,54.314063848144954,1159
SE,6.275821596244131,2.805485435408191,0.27716297786720323,51.277330650570086,5964
SI,5.013509787703336,2.5485002035471767,0.2040253653156879,51.41825199889716,3627
SK,5.181721572794899,2.6163363623040863,0.15249734325185973,53.66950053134963,1882
UA,4.427210884353742,2.340298917422794,0.28775510204081634,51.082312925170065,1470
XK,4.01002004008016,2.134507975339128,0.15030060120240482,45.414829659318634,499
