cntry,regime,slope,cwed_generosity,cooks_d
AT,Continental,0.4263779471124339,34.25,0.027538546933331607
BE,Continental,0.3816198723008688,41.6,0.1557162490706438
CH,Continental,0.35034378408244654,36.96666666666667,0.1387036186423983
DE,Continental,0.4745151650999036,32.11666666666667,0.01061854266436989
DK,Nordic,0.5018240679778988,34.2,0.05418088206774747
ES,Southern,0.44267623445817467,35.333333333333336,3.892550988703169e-05
FI,Nordic,0.44351046641397807,33.93333333333333,0.010533674459923627
FR,Continental,0.4129450270727996,38.016666666666666,0.0052550612665866825
GB,Liberal,0.5595839906088473,28.016666666666666,0.019354624741350822
IE,Liberal,0.4971846170895409,35.233333333333334,0.07619082010554555
IT,Southern,0.4801417225989365,29.9,0.18678472216152323
NL,Continental,0.3583711807257635,38.25,0.06898992333082003
NO,Nordic,0.3141900306000146,43.0,0.043551128641644496
PT,Southern,0.5376043623618947,32.71666666666667,0.1335952271790561
SE,Nordic,0.43342199055005987,36.96666666666667,0.008186475251119532
