variable,regime,mean,sd,min,max,N
task,Nordic,1.849582279451215,0.8692688574670921,1.0,3.0,26094
task,Continental,1.8392145426266162,0.8422958240327848,1.0,3.0,41148
task,Liberal,1.9473717185639998,0.871930428362476,1.0,3.0,15961
task,Southern,2.066952450786846,0.8281871295376515,1.0,3.0,17729
task,Eastern,1.999367265283335,0.8198324558399468,1.0,3.0,53735
anti_immig_index,Nordic,3.908998435054773,1.930554195635768,0.0,10.0,27690
anti_immig_index,Continental,4.617192025399059,2.021735209179222,0.0,10.0,45461
anti_immig_index,Liberal,4.575882225589954,2.336038148856388,0.0,10.0,18476
anti_immig_index,Southern,5.032390766035626,2.3356473302198313,0.0,10.0,20865
anti_immig_index,Eastern,5.350960966574337,2.2294307116125442,0.0,10.0,58847
redist_support,Nordic,3.6711214410226614,1.0439006443573429,1.0,5.0,27536
redist_support,Continental,3.7961421588056545,1.0519574592093694,1.0,5.0,45414
redist_support,Liberal,3.765876052027544,1.003328695202808,1.0,5.0,18298
redist_support,Southern,4.165202863961814,0.8406708202000661,1.0,5.0,20950
redist_support,Eastern,4.0389004745562325,0.9825804278939763,1.0,5.0,60899
agea,Nordic,49.11093974175036,19.018722912045487,15.0,104.0,27880
agea,Continental,49.45193358094822,18.67306863336534,15.0,102.0,45770
agea,Liberal,50.73681369108676,18.353168241823813,15.0,97.0,18523
agea,Southern,50.066676044450695,18.83930722457446,15.0,103.0,21327
agea,Eastern,49.578309184182174,18.427314677059844,15.0,102.0,62183
female,Nordic,0.4903808261383585,0.49991641791437,0.0,1.0,27913
female,Continental,0.514619628022589,0.49979166955055976,0.0,1.0,45863
female,Liberal,0.5386548331907614,0.4985168912081307,0.0,1.0,18704
female,Southern,0.5320620676762011,0.4989826256914713,0.0,1.0,21396
female,Eastern,0.5634761392638726,0.49595839345404114,0.0,1.0,62299
eduyrs,Nordic,13.593658800216177,4.315999033799118,0.0,40.0,27755
eduyrs,Continental,13.121411352180584,3.7969496446345588,0.0,40.0,45630
eduyrs,Liberal,13.974769529354683,3.6889534881898025,0.0,40.0,18549
eduyrs,Southern,11.381018407841262,5.34138504513911,0.0,40.0,20915
eduyrs,Eastern,12.380189354502862,3.383036346552005,0.0,40.0,61472
hinctnta,Nordic,5.764877593118748,2.792074601987214,1.0,10.0,25693
hinctnta,Continental,5.507425618383423,2.724716725222573,1.0,10.0,39862
hinctnta,Liberal,4.605076902136926,2.8215520087919,1.0,10.0,14694
hinctnta,Southern,4.674093781177253,2.6422426126675784,1.0,10.0,15035
hinctnta,Eastern,5.002460050462574,2.7740477249643836,1.0,10.0,47560
lrscale,Nordic,5.3525182536134706,2.2200845622351553,0.0,10.0,26844
lrscale,Continental,4.889835807415299,2.0592708214935262,0.0,10.0,43181
lrscale,Liberal,5.083782945736434,1.9109064500123922,0.0,10.0,16125
lrscale,Southern,4.799160496706116,2.406787325051582,0.0,10.0,17153
lrscale,Eastern,5.230291505674347,2.411495208753142,0.0,10.0,49433
