cntry,slope,se,p,n,regime,cwed_generosity,cwed_ue_generosity,conditionality,almp_pmp
AL,0.15039244515320238,0.09368844673979093,0.10885750242531586,760,Eastern,,,,
AT,0.4263779471124339,0.033242477690799764,5.115429162066244e-37,4530,Continental,34.25,10.4,0.15,0.7870000004768372
BE,0.3816198723008688,0.024029817293290776,1.1875722809816685e-55,5931,Continental,41.6,13.700000000000001,0.04260204081632653,0.781000018119812
BG,0.16896680565393982,0.04680549067972591,0.00031115010669707376,3052,Eastern,,,0.01875,
CH,0.35034378408244654,0.026381651896254032,1.7512358963738066e-39,4368,Continental,36.96666666666667,13.716666666666667,0.20892857142857144,0.5400000214576721
CY,0.29200363577894556,0.06169715236008979,2.4567643647075044e-06,1298,Southern,,,,
CZ,0.17598397659891338,0.026984327671281075,7.574373835631194e-11,5485,Eastern,,,0.025,0.2469999939203262
DE,0.4745151650999036,0.022020643243021165,2.1342811185669692e-100,8762,Continental,32.11666666666667,10.157142857142857,0.05,0.6740000247955322
DK,0.5018240679778988,0.03193616724883373,5.420299151478005e-54,3893,Nordic,34.199999999999996,10.12857142857143,0.025,1.9420000314712524
EE,0.30194589132053795,0.027746873502414247,2.70762080996253e-27,5340,Eastern,,,0.275,0.2800000011920929
ES,0.44267623445817467,0.029465170719368154,6.139137289050063e-50,5031,Southern,35.333333333333336,11.571428571428571,0.025,0.6489999890327454
FI,0.44351046641397807,0.020435501235787946,3.368162567389548e-101,7149,Nordic,33.93333333333333,9.128571428571428,0.2694368131868132,0.99099999666214
FR,0.4129450270727996,0.027059121210349972,1.0731288371202516e-51,6549,Continental,38.016666666666666,11.242857142857144,0.28928571428571426,0.9169999957084656
GB,0.5595839906088473,0.027714174529774392,7.61695832845232e-88,6176,Liberal,28.016666666666666,8.628571428571428,0.11263736263736263,0.2160000056028366
HR,0.2652791325665429,0.07544872635506092,0.0004552663885227589,1143,Eastern,,,,
HU,0.3108997676411124,0.03501286760742487,1.0042401210039073e-18,3903,Eastern,,,0.02315705128205128,0.7540000081062317
IE,0.4971846170895409,0.027996785486433598,6.522023908294205e-69,6400,Liberal,35.233333333333334,10.828571428571427,0.23214285714285715,0.8849999904632568
IS,0.27964845538594596,0.03607768845529094,1.3800973185081905e-14,2199,Nordic,,,,0.0750000029802322
IT,0.4801417225989365,0.04672091318182044,2.426903151725242e-24,2785,Southern,29.900000000000002,5.614285714285714,0.09081632653061225,0.4639999866485595
LT,0.17633976854995312,0.02592251348832477,1.1285089221339259e-11,5936,Eastern,,,0.2875,
LV,0.20465854991913518,0.08633018420832242,0.018013229079273652,739,Eastern,,,0.4375,
ME,0.13160061187532057,0.10823964704846592,0.22457457657856653,550,Eastern,,,,
NL,0.3583711807257635,0.020043721577622683,1.190720018420331e-69,5844,Continental,38.25,11.857142857142858,0.5,0.8799999952316284
NO,0.3141900306000146,0.024676181849191778,1.4749407137308382e-36,4895,Nordic,43.0,14.042857142857143,0.10906593406593407,0.5260000228881836
PL,0.30181305487343385,0.031223401626922068,7.042958581679538e-22,4242,Eastern,,,0.275,0.4350000023841858
PT,0.5376043623618947,0.03618023310066538,1.610864934198445e-48,3608,Southern,32.71666666666667,10.571428571428571,0.03214285714285715,0.4939999878406524
RS,0.40110308676711254,0.08569588809650212,3.199109462711803e-06,1159,Eastern,,,,
SE,0.43342199055005987,0.02422540828577991,8.976922462333583e-70,5964,Nordic,36.96666666666667,9.214285714285714,0.23418367346938773,1.281000018119812
SI,0.42675295964515464,0.03736363019994955,1.0443186413078404e-29,3627,Eastern,,,0.375,0.2569999992847442
SK,0.2058794577850699,0.05109988995032629,5.825491328090656e-05,1882,Eastern,,,0.075,0.2520000040531158
UA,0.09671270220397586,0.06189651934105946,0.11838809794119151,1470,Eastern,,,,
XK,-0.16986347037664218,0.11276234075574187,0.13260373487238922,499,Eastern,,,,
