cntry,slope,se,cwed,n
AT,0.43478098357774897,0.030003247446289218,34.25,5746
BE,0.3619883840390207,0.023255369461655368,41.6,6302
CH,0.3307177441016827,0.024087236357819217,36.96666666666667,5226
DE,0.461665002582662,0.02085923150327962,32.11666666666667,9766
DK,0.48800899260362557,0.029867017834653193,34.2,4421
ES,0.4223328762015581,0.026583916166854456,35.333333333333336,6177
FI,0.4398420092956486,0.020059908056966544,33.93333333333333,7527
FR,0.4044381627389639,0.026005689396058206,38.016666666666666,7103
GB,0.5125070339273639,0.025265413914662485,28.016666666666666,7506
IE,0.4597238666481077,0.02444506125979939,35.233333333333334,8288
IT,0.32802500109596083,0.03645283301175705,29.9,4627
NL,0.3338764380466286,0.018846299711785638,38.25,6680
NO,0.2944060945488284,0.02421994248849176,43.0,5149
PT,0.4732986291706562,0.031669033703336076,32.71666666666667,4954
SE,0.4251575260462342,0.023382105002912566,36.96666666666667,6387
