cntry,r_pearson,p_pearson,r_spearman,p_spearman,n_obs,n_regions,n_years,mean_right_pop_vs,beta_rti_region,cwed
BE,0.3327202872038574,0.0040258741089785185,0.27352195607351953,0.01920751113662096,73,11,7,9.740516969602401,0.3327202872038574,41.6
DE,-0.2933448495947002,0.14582754694326347,-0.36354914761079604,0.06790780176223606,26,9,5,1.9162335315575967,-0.2933448495947002,32.11666666666667
DK,-0.386648556255492,0.08337556761186755,-0.36883116883116884,0.09990670544494931,21,3,7,12.57144900730678,-0.386648556255492,34.199999999999996
ES,-0.040258056781879124,0.631881299872398,-0.299959521813159,0.0002595774303871145,144,19,8,0.058833093686391495,-0.040258056781879124,35.333333333333336
FI,-0.35970023540420865,0.07738209877104316,-0.230184713695251,0.2683165182519697,25,4,7,5.874875268936157,-0.35970023540420865,33.93333333333333
FR,0.020778607178052244,0.8270806019018262,-0.05001174814483694,0.5988531118002983,113,23,6,12.718604098642821,0.020778607178052244,38.016666666666666
GR,0.20816228411654195,0.0407510495585995,0.21570586997685673,0.03384074172431622,97,13,8,4.951285533683816,0.20816228411654195,
IT,-0.23934349975471475,0.0026191960536906525,-0.21473349404164027,0.007104055453074114,156,20,8,16.910949484660076,-0.23934349975471475,29.900000000000002
NL,-0.3835950303409051,0.00011437221734432141,-0.3900841020075963,8.537411123700302e-05,96,12,8,8.766850351666411,-0.3835950303409051,38.25
NO,-0.346051418560631,0.014867113776464096,-0.34989795918367345,0.013720000684010702,49,7,7,15.652934721538,-0.346051418560631,43.0
PT,0.23694038180608684,0.10117130795757635,0.2393877551020408,0.09759216043709296,49,7,8,8.14063206619146,0.23694038180608684,32.71666666666667
SE,-0.3474661913670525,0.008693947343614662,-0.32791007397951705,0.01361960549954014,56,8,7,3.4680439702102115,-0.3474661913670525,36.96666666666667
